epoch,train_loss,val_loss,train_top1,val_top1,val_correction_magnitude,val_observation_residual,val_smoothness_energy,val_frame_pgm_correction_magnitude,val_frame_pgm_observation_residual,val_frame_pgm_smoothness_energy,lr,epoch_time_sec
1,3.507886249223647,3.525776868558112,0.07834159192121934,0.08301526717557252,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8206358999595977
2,3.217002931176842,3.456722812798187,0.10637897509878944,0.08587786259541985,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9493385999812745
3,3.0484853207313574,3.3826517585579676,0.13266010161199274,0.11354961832061068,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9333141999668442
4,2.9066065253677853,3.190434810769467,0.1505990089694537,0.1273854961832061,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9956789000425488
5,2.805945061952416,3.173729352368653,0.16471178573668696,0.1340648854961832,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9596020999597386
6,2.728083742447751,3.1424504655008096,0.1817725647619645,0.14646946564885496,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8878613999695517
7,2.6733894746082085,3.096462568253961,0.19525810700620963,0.15458015267175573,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7654035000014119
8,2.6166809045004067,3.102862174274357,0.20234585711597566,0.15696564885496184,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7570548999938183
9,2.5750668794636384,3.086699742397279,0.21683497459700182,0.15314885496183206,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7889866000041366
10,2.533948501963048,3.0950235829098536,0.22831336636768487,0.15648854961832062,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8067868999787606
11,2.4948688668408536,3.1296069876838275,0.23997992849526437,0.14646946564885496,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8242909000255167
12,2.4536348123334473,3.1417399399153147,0.24581320955905414,0.15505725190839695,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.803756599954795
13,2.427695379901439,3.0615234375,0.2560371322837609,0.16269083969465647,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8055852000252344
14,2.382401577436228,3.0790246843381692,0.2672646302452487,0.15744274809160305,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.860697700001765
15,2.343717926203408,3.0802740431923903,0.280687449037195,0.16364503816793893,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9706666000420228
16,2.32318718225663,3.128369981095991,0.28557987831650256,0.16030534351145037,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7615513000055216
17,2.282448993156585,3.1717936956245483,0.2963683121118986,0.15171755725190839,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.822698500007391
18,2.2440262951785392,3.153947495322191,0.308411214953271,0.17318702290076335,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7841399000026286
19,2.219619108743338,3.1408735668386214,0.3203286708900458,0.15744274809160305,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7850417000008747
20,2.1732511488981427,3.193774332526986,0.3274791444521106,0.16459923664122136,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.765423099976033
21,2.156792179894987,3.259390909253186,0.33613498086934707,0.16173664122137404,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7651874999864958
22,2.1291134088870716,3.1442070899118906,0.34686069121244434,0.17700381679389313,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7680614000419155
23,2.088744180755649,3.244181423696853,0.35344665370381984,0.1736641221374046,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.739781900017988
24,2.0615781140897216,3.3429637082660473,0.3713855610612808,0.1741412213740458,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8175270999781787
25,2.0383170271939695,3.352745638548873,0.3710092203474879,0.16459923664122136,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7642985999700613
26,1.9917073275987158,3.3107412207217615,0.3886345104434548,0.17986641221374045,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.861740300024394
27,1.9761185482754684,3.2775243802835012,0.3876936586589726,0.183206106870229,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9555902000283822
28,1.9518757553013253,3.3063386815194864,0.3967885592423007,0.1851145038167939,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7475946999620646
29,1.9219941471613449,3.3929360640867974,0.40525622530264066,0.1875,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7383970999508165
30,1.886002124316688,3.3800535984621702,0.41171674088941856,0.17700381679389313,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.9268633999745362
31,1.8558479102905217,3.4845708890725637,0.4226933450417111,0.1765267175572519,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.759869700006675
32,1.8271091157591628,3.5187023832597806,0.4349244182399799,0.17795801526717558,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7466832000063732
33,1.801408252856337,3.5727770838118693,0.4435175312049175,0.17748091603053434,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.8066904000006616
34,1.7856532234189382,3.5322381540109182,0.4474691086997428,0.18129770992366412,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7434288999647833
35,1.7593339169660236,3.4884922832023095,0.45443141190491126,0.17795801526717558,,,,0.10325491621749092,2.366415069897069e-05,8.832335468552267e-05,0.0001,1.7540106999804266
