epoch,train_loss,val_loss,train_top1,val_top1,val_correction_magnitude,val_observation_residual,val_smoothness_energy,val_frame_pgm_correction_magnitude,val_frame_pgm_observation_residual,val_frame_pgm_smoothness_energy,lr,epoch_time_sec
1,3.50608576749055,3.5267962990826325,0.07852976227811578,0.0825381679389313,,,,1.8676713914361618,0.03117748034250645,0.05782449120328627,0.0001,1.810727100004442
2,3.2132945298804607,3.4544090696873555,0.10738255033557047,0.08730916030534351,,,,2.1693446945598107,0.042104257768347066,0.07751016483734582,0.0001,1.7740179999964312
3,3.0400189106044015,3.371040637256535,0.13372640030107258,0.11545801526717557,,,,2.3107434629483987,0.04772832128041573,0.0882902309184766,0.0001,1.8013097000075504
4,2.8963611948140957,3.1953241497505713,0.15473875682117544,0.12547709923664122,,,,2.421032863718863,0.05260786675769864,0.09748461148666061,0.0001,1.8930834999773651
5,2.7982997995678187,3.1650153007216124,0.16646804240105376,0.1316793893129771,,,,2.4679982389202553,0.05472974337011803,0.10124543804021283,0.0001,1.8590957999695092
6,2.7219380850266433,3.1496684551239014,0.18302703380794078,0.14599236641221375,,,,2.5615322225876436,0.05896165875988152,0.10885319437916952,0.0001,1.8175291999941692
7,2.668836526407738,3.1038776408625015,0.19663802295678354,0.15648854961832062,,,,2.596479499613056,0.06066335453331925,0.11172443326875453,0.0001,1.8023808999569155
8,2.6140095984061675,3.1041958659659814,0.20278492128206738,0.15744274809160305,,,,2.6501763776968454,0.06309619767747762,0.11619614747189383,0.0001,1.784239400003571
9,2.5722175256405753,3.0935398695123104,0.21790127328608166,0.15219465648854963,,,,2.6602030109813195,0.06368174560311186,0.11692389601287041,0.0001,1.763466399977915
10,2.5326031791530528,3.100891577378484,0.23050868719814338,0.15314885496183206,,,,2.7055484356770987,0.06563998690543284,0.12039414053882351,0.0001,1.825548399996478
11,2.4925901800971673,3.1378560557620214,0.24079533337514897,0.15076335877862596,,,,2.707616838790078,0.0657905375456992,0.12023975762702127,0.0001,1.777110300026834
12,2.452375656851246,3.134148750596374,0.2491375525308913,0.14980916030534353,,,,2.738463321714911,0.06719354756233346,0.12261555451928204,0.0001,1.7675737999961711
13,2.429675441161233,3.0584660868608315,0.25484538669008344,0.16650763358778625,,,,2.7717417214662974,0.06887105050432774,0.12550730838347937,0.0001,1.817445399996359
14,2.3835440070971727,3.0903687222313336,0.2721570595245562,0.15791984732824427,,,,2.7656479209433984,0.06852836588411841,0.12460535082198282,0.0001,1.7615004999679513
15,2.3475169677294114,3.0889582743171515,0.2789311923728282,0.16650763358778625,,,,2.761499306627812,0.06835377409712959,0.12396994841690281,0.0001,1.7933899000054225
16,2.3275966968947923,3.116200805620383,0.28601894248259424,0.15553435114503816,,,,2.7770285897582543,0.06885368001597528,0.1251138352597033,0.0001,1.8413471999811009
17,2.287775700987937,3.16336269233063,0.2964310355641975,0.15458015267175573,,,,2.7567588536793948,0.06785240775073757,0.12329948130454726,0.0001,1.7679239000426605
18,2.2538352224538643,3.1436054706573486,0.3069685755503983,0.1693702290076336,,,,2.7635025468491414,0.06829236026938634,0.12349502668353438,0.0001,1.7628284000093117
19,2.2328716331433602,3.1313487063837417,0.3161261995860252,0.15744274809160305,,,,2.774152613778151,0.06870930840950885,0.12435448675892735,0.0001,1.7882091000210494
20,2.1865109070730817,3.183082054589541,0.3260992285015367,0.15839694656488548,,,,2.769843359939925,0.06850800811106922,0.12386307842631376,0.0001,1.7527864999719895
21,2.1723684401417334,3.2506925877723987,0.33519412908486484,0.15839694656488548,,,,2.768992644229918,0.06835708363365581,0.12348331562207855,0.0001,1.778050999972038
22,2.1468970155144684,3.123340987067186,0.3422818791946309,0.1717557251908397,,,,2.7766999106370767,0.06868377578167514,0.12405857011562085,0.0001,1.7994821000029333
23,2.1124564546462934,3.233177008519646,0.348993288590604,0.1736641221374046,,,,2.7654566692031977,0.06818262578649376,0.12301755958158551,0.0001,1.765621300030034
24,2.0825819839522284,3.3567861327688204,0.3617261494072634,0.16078244274809161,,,,2.7795350315006635,0.0688910462132847,0.12395297610805235,0.0001,1.7718765999889001
25,2.0630052573766267,3.281503984946331,0.3637332998808254,0.16889312977099236,,,,2.7886641844538334,0.06923001959123684,0.12462589616766413,0.0001,1.77389959996799
26,2.02030210808141,3.3009119980207835,0.37972778021702314,0.16412213740458015,,,,2.789623890214294,0.06922223760199,0.1247212422144322,0.0001,1.7525124999810942
27,2.006262163098107,3.221343992320636,0.3787869284325409,0.183206106870229,,,,2.7989333203730693,0.06970399197276311,0.12529828308420327,0.0001,1.7565832000109367
28,1.983800856761888,3.2325946702301955,0.38712914758828326,0.17461832061068702,,,,2.801865566777819,0.06985096678934025,0.1253056879375727,0.0001,1.7695572000229731
29,1.9544411523574077,3.353769373347741,0.3986702628112651,0.18463740458015268,,,,2.7922058615065715,0.06932660004564824,0.124340656376977,0.0001,1.7999046999611892
30,1.9196712785149088,3.3322662761193196,0.40531894875493946,0.1741412213740458,,,,2.821085260114597,0.07080559819254256,0.1267928122791625,0.0001,1.763084699981846
31,1.8971487606498174,3.4052596947619023,0.41516653076585336,0.17270992366412213,,,,2.813626160148446,0.0703622039606553,0.125851166839818,0.0001,1.7640353000024334
32,1.8648207489657431,3.3857070398694686,0.4221915574233206,0.1784351145038168,,,,2.8337070541527436,0.07136954224974144,0.12754023137665887,0.0001,1.7961165999877267
33,1.8397863124399856,3.500201742157681,0.4347989713353823,0.17032442748091603,,,,2.842417367542063,0.0718037236396593,0.12799048622828404,0.0001,1.772997599968221
34,1.8295594467195866,3.4311879263579392,0.435238035501474,0.17270992366412213,,,,2.8480155522586736,0.07214938593274764,0.12855092157389372,0.0001,1.7766105000046082
35,1.8017125626934716,3.3929079070346044,0.4426394028727341,0.18654580152671757,,,,2.8667716852581226,0.07298948075480134,0.13009779917374822,0.0001,1.8255620999843813
36,1.7698663528984093,3.564157618821122,0.45524681678479584,0.17938931297709923,,,,2.862427458508324,0.07274126506033744,0.12941722247664256,0.0001,1.7737084000254981
37,1.7466011845257234,3.714453779104102,0.46133099165778085,0.1693702290076336,,,,2.8727609201241995,0.07327400944160141,0.1301922827731562,0.0001,1.7591572999954224
38,1.7254315694557008,3.5888542291772274,0.46609797403249076,0.17557251908396945,,,,2.8846057717126743,0.07382546001263247,0.13121230741038578,0.0001,1.86806589999469
39,1.7105751022493676,3.749680031346911,0.4672269961738694,0.16889312977099236,,,,2.8874443960553817,0.0738968453334488,0.13107703159783632,0.0001,1.775619000021834
40,1.685312882074185,3.7409286954020726,0.47230759581007337,0.17032442748091603,,,,2.9039610087416556,0.07488192452956702,0.1327112681083097,0.0001,1.7750759999617003
41,1.6581729268635903,3.6904992820652387,0.48359781722386,0.16984732824427481,,,,2.9220402131553826,0.0757400666484396,0.13400154054619884,0.0001,1.7551536000100896
42,1.6348967112748947,3.6844039236316246,0.4884902465031675,0.17270992366412213,,,,2.929971363708263,0.07615706335952263,0.13445416957367468,0.0001,1.7757610999979079
43,1.6000392760221342,3.771201969103049,0.4987141692278743,0.1674618320610687,,,,2.919671222453809,0.07568755177141145,0.1336474539214418,0.0001,1.7642879000050016
