epoch,train_loss,val_loss,train_top1,val_top1,val_correction_magnitude,val_observation_residual,val_smoothness_energy,val_frame_pgm_correction_magnitude,val_frame_pgm_observation_residual,val_frame_pgm_smoothness_energy,lr,epoch_time_sec
1,3.5031712704527926,3.524140569089933,0.07878065608731105,0.08540076335877862,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.8280735000153072
2,3.2062218483841898,3.4409780702518145,0.10851157247694913,0.08635496183206107,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7996178999892436
3,3.0303797429653105,3.3645769657979483,0.1359217211315311,0.12070610687022901,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7934124000021257
4,2.887859746771715,3.1837577510426063,0.15467603336887661,0.13358778625954199,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7812199000036344
5,2.789510660516059,3.1626563600001445,0.16696983001944427,0.12881679389312978,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7475939000141807
6,2.712172153056928,3.150169782056153,0.18541052499529573,0.1450381679389313,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.754308800038416
7,2.6554967822465083,3.0964159801716113,0.19845700307344916,0.15267175572519084,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7955174000235274
8,2.600951421053715,3.1116705723391234,0.20479207175562944,0.15553435114503816,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.8074005999951623
9,2.5591553361025703,3.0999161814915315,0.21834033745217338,0.14694656488549618,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7780841999920085
10,2.518443558511146,3.116275931132659,0.23207677350561376,0.14980916030534353,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7588680000044405
11,2.477512493551073,3.1488034779788885,0.24437057015618138,0.14837786259541985,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7834444999461994
12,2.4358842360183015,3.163478008663381,0.25114470300445335,0.15171755725190839,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.76151939999545
13,2.4131844330707324,3.0796031223908638,0.2581697296619206,0.1693702290076336,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7695426000282168
14,2.365979453337908,3.110008063207146,0.27472872106880764,0.16125954198473283,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7914257999509573
15,2.327022270883243,3.0925777540862107,0.28426268581822745,0.1693702290076336,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.737788799975533
16,2.3053530331186747,3.1556472214123676,0.29047230759581005,0.15458015267175573,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.759224199980963
17,2.26653942810295,3.180260405285668,0.30169980555729786,0.14599236641221375,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.8144348000059836
18,2.230409708958023,3.1535660255956284,0.311798281377407,0.17270992366412213,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7541016000322998
19,2.2083303960676828,3.1388686649671946,0.3230885027911936,0.15982824427480916,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.7652015999774449
20,2.16118911199002,3.195336434677357,0.33212067992222294,0.17127862595419846,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.814090599946212
21,2.1446596484916136,3.259298775942271,0.34134102741014866,0.15744274809160305,,,,0.1462040161358491,4.711262957292488e-05,4.646116990408547e-05,0.0001,1.789208600006532
