run_name,date,ablation_id,model_variant,backbone,input_type,num_frames,pgm_smoother,lambda_smooth,information_matrix,use_alpha,classifier,batch_size,lr,epochs,best_val_top1,best_val_epoch,test_top1,checkpoint_best,run_dir,notes
2026-05-19_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_6aae,2026-05-19T22:03:27,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,16,0.0001,3,0.0,1,,/workspace/PGM_project/outputs/runs/2026-05-19_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_6aae/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_6aae,Small real ablation launcher run.
2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_9d5c,2026-05-19T22:03:28,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,16,0.0001,3,0.0,3,,/workspace/PGM_project/outputs/runs/2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_9d5c/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_9d5c,Small real ablation launcher run.
2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_8d57,2026-05-20T03:49:15,E0,mean_pool_baseline,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,64,1e-4,3,0.03816793893129771,1,,/workspace/PGM_project/outputs/runs/2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_8d57/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_8d57,RunPod full training launcher run.
2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_f459,2026-05-20T03:49:18,E1,diff_only,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,64,1e-4,3,0.1183206106870229,3,,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_f459/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_f459,RunPod full training launcher run.
2026-05-20_E2_diff_pgm_lambda1.0_alphafalse_mlp_47ab,2026-05-20T03:49:22,E2,diff_pgm,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,none,False,mlp,64,1e-4,3,0.1183206106870229,3,,/workspace/PGM_project/outputs/runs/2026-05-20_E2_diff_pgm_lambda1.0_alphafalse_mlp_47ab/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E2_diff_pgm_lambda1.0_alphafalse_mlp_47ab,RunPod full training launcher run.
2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_d25d,2026-05-20T03:49:44,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,64,1e-4,3,0.08826335877862596,3,,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_d25d/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_d25d,RunPod full training launcher run.
2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_f5e2,2026-05-20T03:50:06,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,64,1e-4,3,0.07872137404580153,1,,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_f5e2/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_f5e2,RunPod full training launcher run.
2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_65ff,2026-05-20T03:51:11,E0,mean_pool_baseline,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,64,1e-4,30,0.07919847328244274,29,,/workspace/PGM_project/outputs/runs/2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_65ff/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_65ff,RunPod full training launcher run.
2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_d73d,2026-05-20T03:51:36,E1,diff_only,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,64,1e-4,30,0.1650763358778626,20,,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_d73d/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E1_diff_only_lambdanone_alphafalse_mlp_d73d,RunPod full training launcher run.
2026-05-20_E2_diff_pgm_lambda1.0_alphafalse_mlp_ac90,2026-05-20T03:52:07,E2,diff_pgm,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,none,False,mlp,64,1e-4,30,0.1650763358778626,20,,/workspace/PGM_project/outputs/runs/2026-05-20_E2_diff_pgm_lambda1.0_alphafalse_mlp_ac90/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-20_E2_diff_pgm_lambda1.0_alphafalse_mlp_ac90,RunPod full training launcher run.
